Actual_High,Actual_Low,Predicted_High_XGBoost,Predicted_Low_XGBoost
213.044,212.67,213.04105,212.8549
227.87,227.752,227.87611,227.82324
221.5,221.09,221.47462,220.70686
213.9,213.81,213.94373,213.96257
215.18,214.89,215.20984,215.04132
211.23,211.06,211.09613,211.13438
217.449,217.36,217.89304,217.49413
215.815,208.14,209.72218,200.08461
221.78,221.71,221.94435,222.39699
221.4,221.3,221.40092,220.85834
218.12,218.0,218.0397,218.00085
210.88,210.79,210.85104,210.90652
229.32,228.96,229.37361,228.63844
216.92,216.85,216.84929,216.70583
213.29,213.0,213.35008,213.01207
217.34,217.185,217.58054,217.10922
210.27,210.13,210.45856,210.09001
218.29,218.23,218.24869,218.2333
210.72,210.35,210.50461,210.26466
210.12,210.02,210.09009,210.08806
228.545,228.44,228.51207,228.34602
211.3,211.14,211.25285,211.13739
209.19,209.17,209.25812,209.23105
231.99,231.94,231.94556,231.8475
220.4,219.44,220.89717,219.34158
226.27,226.16,226.3468,225.72083
214.71,214.69,214.66423,214.74374
228.23,228.15,228.29211,228.20868
211.86,210.9,211.72862,210.84213
228.535,228.02,228.43321,227.87341
213.5,213.4,213.51508,213.3357
228.02,227.81,228.00499,227.85204
207.75,207.49,207.7752,207.59248
220.31,220.18,220.5111,220.10362
213.57,213.38,213.54568,213.39734
209.29,209.2,209.27054,209.274
220.05,219.87,219.9371,219.72453
213.56,213.52,213.69261,213.45137
227.78,227.5,227.62607,227.2859
232.398,232.03,232.30023,232.07188
229.85,229.84,229.82837,229.78067
228.0,227.95,227.93727,227.87881
211.25,211.13,211.41873,211.12492
214.19,214.13,214.23882,214.14537
214.21,214.12,214.22807,214.1713
208.09,208.06,208.19136,208.07237
225.08,224.93,224.93974,224.89354
232.478,232.37,232.42708,232.30304
220.95,220.86,221.02118,221.00656
219.69,219.635,219.70071,219.697
219.82,219.76,219.75192,219.75508
227.65,227.62,227.59444,227.81271
210.64,210.58,210.72896,210.54526
226.4,226.37,226.38164,226.55957
216.07,215.995,216.16275,216.0011
214.68,214.05,214.43745,213.86024
213.877,213.682,213.79044,213.64854
225.26,225.2,225.31032,225.23096
211.31,211.25,211.3781,211.36484
230.25,230.19,230.21556,229.76419
214.56,214.4,214.53218,214.33206
231.09,230.53,231.3569,230.69836
211.22,211.2,211.19661,211.17548
226.45,226.42,226.45369,226.55957
207.38,207.29,207.34554,207.28073
212.91,212.72,212.88324,212.8839
210.72,210.44,210.76906,210.46184
220.92,220.85,220.93953,220.81241
228.719,228.68,228.75508,228.6461
229.12,228.83,229.0447,228.83481
210.04,209.98,210.06303,210.09836
214.29,214.24,214.33777,214.22504
